One Hundred Years of Solitude,Gabriel Garcia Marquez,1967
Fahrenheit 451,Ray Bradbury,1953
Nineteen Eighty-Four,George Orwell,1949
The Phantom of the Opera,Gaston Leroux,1909
The Wind in the Willows,Kenneth Grahame,1908
White Fang,Jack London,1906
The Picture of Dorian Gray,Oscar Wilde,1890
Little Women,Louisa May Alcott,1868
War and Peace,Leo Tolstoy,1867
Moby Dick,Herman Melville,1851
Jane Eyre,Charlotte Bronte,1847
The Three Musketeers,Alexandre Dumas,1844
A Christmas Carol,Charles Dickens,1843
Persuasion,Jane Austen,1817
Dream of the Red Chamber,Cao Xueqin,1791
Journey to the West,Wu Chengen,1592
Romance of the Three Kingdoms,Luo Guanzhong,1522
Water Margin,Shi Naian,1450
